0 Waiting to start...
Time: 21, Temperature: 25.0, Soil Moisture:1, Proximity:12.61 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 22, Temperature: 25.0, Soil Moisture:1, Proximity:11.56 cm, Touch: 0, Electric Signal: 1023, Noise:877
Time: 23, Temperature: 25.0, Soil Moisture:1, Proximity:195.29 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 24, Temperature: 25.0, Soil Moisture:1, Proximity:194.98 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 25, Temperature: 25.0, Soil Moisture:1, Proximity:198.77 cm, Touch: 0, Electric Signal: 1023, Noise:877
Time: 26, Temperature: 25.0, Soil Moisture:1, Proximity:197.35 cm, Touch: 0, Electric Signal: 1023, Noise:877
Time: 27, Temperature: 25.0, Soil Moisture:1, Proximity:194.84 cm, Touch: 0, Electric Signal: 1023, Noise:877
Time: 28, Temperature: 25.0, Soil Moisture:1, Proximity:194.1 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 29, Temperature: 25.0, Soil Moisture:1, Proximity:196.62 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 30, Temperature: 25.0, Soil Moisture:1, Proximity:196.54 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 31, Temperature: 25.0, Soil Moisture:1, Proximity:193.62 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 32, Temperature: 25.0, Soil Moisture:1, Proximity:195.3 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 33, Temperature: 25.0, Soil Moisture:1, Proximity:195.46 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 34, Temperature: 25.0, Soil Moisture:1, Proximity:195.94 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 35, Temperature: 25.0, Soil Moisture:1, Proximity:194.48 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 36, Temperature: 25.0, Soil Moisture:1, Proximity:196.97 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 37, Temperature: 25.0, Soil Moisture:1, Proximity:195.97 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 38, Temperature: 25.0, Soil Moisture:1, Proximity:194.02 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 39, Temperature: 25.0, Soil Moisture:1, Proximity:195.13 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 40, Temperature: 25.0, Soil Moisture:1, Proximity:194.93 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 41, Temperature: 25.0, Soil Moisture:1, Proximity:194.5 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 42, Temperature: 25.0, Soil Moisture:1, Proximity:194.12 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 43, Temperature: 25.0, Soil Moisture:1, Proximity:198.19 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 44, Temperature: 25.0, Soil Moisture:1, Proximity:195.0 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 45, Temperature: 25.0, Soil Moisture:1, Proximity:197.98 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 46, Temperature: 25.0, Soil Moisture:1, Proximity:197.38 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 47, Temperature: 25.0, Soil Moisture:1, Proximity:194.45 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 48, Temperature: 25.0, Soil Moisture:1, Proximity:196.25 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 49, Temperature: 25.0, Soil Moisture:1, Proximity:196.66 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 50, Temperature: 25.0, Soil Moisture:1, Proximity:198.32 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 51, Temperature: 25.0, Soil Moisture:1, Proximity:194.94 cm, Touch: 0, Electric Signal: 980, Noise:878
Time: 52, Temperature: 25.0, Soil Moisture:1, Proximity:194.72 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 53, Temperature: 25.0, Soil Moisture:1, Proximity:195.06 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 54, Temperature: 25.0, Soil Moisture:1, Proximity:198.22 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 55, Temperature: 25.0, Soil Moisture:1, Proximity:194.96 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 56, Temperature: 25.0, Soil Moisture:1, Proximity:197.69 cm, Touch: 0, Electric Signal: 1023, Noise:879
Time: 57, Temperature: 25.0, Soil Moisture:1, Proximity:197.86 cm, Touch: 0, Electric Signal: 1023, Noise:878
Time: 58, Temperature: 25.0, Soil Moisture:1, Proximity:194.55 cm, Touch: 0, Electric Signal: 1023, Noise:878
